"pcon24","loftins_n","cavitywallins_n","solidwallins_n","cavity_and_loftins_n","cavitywallins_noloftins_n","loftins_nocavitywallins_n","number_of_epcs","loftins_pct","cavitywallins_pct","solidwallins_pct","cavity_and_loftins_pct","cavitywallins_noloftins_pct","loftins_nocavitywallins_pct"
"E14001063",6127,8513,5084,2210,6303,3917,43956,0.139389389389389,0.193670943670944,0.115661115661116,0.0502775502775503,0.143393393393393,0.0891118391118391
"E14001064",5370,6508,3721,1869,4639,3501,28679,0.187245022490324,0.226925625021793,0.129746504410893,0.065169636319258,0.161755988702535,0.122075386171066
"E14001065",5596,8892,5829,2314,6578,3282,33334,0.167876642467151,0.266754664906702,0.174866502669947,0.0694186116277674,0.197336053278934,0.0984580308393832
"E14001066",4619,3734,9592,1017,2717,3602,34093,0.135482357082099,0.109523949197783,0.281348077317924,0.0298301704162145,0.0796937787815681,0.105652186665884
"E14001067",7825,8250,5594,2994,5256,4831,35881,0.218081993255483,0.229926702154344,0.155904239012291,0.0834424904545581,0.146484211699785,0.134639502800925
"E14001068",5555,3896,8110,1106,2790,4449,37048,0.149940617577197,0.105160872381775,0.218905204059598,0.0298531634636148,0.0753077089181602,0.120087454113582
"E14001069",5648,6028,3453,1749,4279,3899,39887,0.14160002005666,0.151126933587384,0.0865695590041868,0.0438488730664126,0.107278060520972,0.0977511469902475
"E14001070",4871,8564,3894,2000,6564,2871,36688,0.132768207588312,0.233427823811601,0.106138246838203,0.0545137374618404,0.17891408634976,0.0782544701264719
"E14001071",6032,5396,4079,1863,3533,4169,41937,0.143834799818776,0.128669194267592,0.0972649450366025,0.0444237785249302,0.0842454157426616,0.0994110212938455
"E14001072",6022,4428,6596,1410,3018,4612,38579,0.156095284999611,0.114777469607818,0.170973845874699,0.0365483812436818,0.0782290883641359,0.119546903755929
"E14001073",5588,6863,14903,1487,5376,4101,46097,0.121222639217303,0.14888170596785,0.323296526888952,0.032258064516129,0.116623641451721,0.0889645747011736
"E14001074",5725,5076,6653,1401,3675,4324,41434,0.138171549934836,0.122508085147463,0.160568615146981,0.033812810735145,0.0886952744123184,0.104358739199691
"E14001075",6063,5119,9764,1401,3718,4662,43782,0.138481567767576,0.116920195514138,0.223014024028139,0.031999451829519,0.0849207436846192,0.106482115938057
"E14001076",6776,12683,8031,3125,9558,3651,38249,0.177154958299563,0.331590368375644,0.209966273628069,0.0817014823916965,0.249888885983947,0.0954534759078669
"E14001077",6272,8216,2981,2595,5621,3677,35517,0.176591491398485,0.231325843962046,0.0839316383703579,0.0730636033448771,0.158262240617169,0.103527888053608
"E14001078",6531,7064,1377,2016,5048,4515,41567,0.157119830634879,0.169942502465898,0.0331272403589386,0.0485000120287728,0.121442490437126,0.108619818606106
"E14001079",6153,4667,7365,1413,3254,4740,44168,0.139309001992393,0.10566473464952,0.166749683028437,0.0319914870494476,0.0736732476000724,0.107317514942945
"E14001080",5934,6542,15019,1603,4939,4331,43458,0.136545630263703,0.150536149845828,0.34559804869069,0.0368861889640573,0.113649960881771,0.0996594412996456
"E14001081",3837,3430,23492,363,3067,3474,57478,0.0667559761995894,0.0596750060892863,0.408712898848255,0.00631545982810815,0.0533595462611782,0.0604405163714813
"E14001082",7508,8146,6465,2569,5577,4939,36820,0.203910917979359,0.22123845736013,0.17558392178164,0.0697718631178707,0.15146659424226,0.134139054861488
"E14001083",5856,6926,19317,984,5942,4872,43345,0.135102087899412,0.159787749452071,0.445656938516553,0.0227015803437536,0.137086169108317,0.112400507555658
"E14001084",6195,4819,10539,1430,3389,4765,41596,0.148932589672084,0.115852485815944,0.253365708241177,0.0343783056063083,0.0814741802096355,0.114554284065776
"E14001085",1998,3186,10995,282,2904,1716,53574,0.0372942098779259,0.0594691454810169,0.20523014895285,0.00526374734012767,0.0542053981408892,0.0320304625377982
"E14001086",1556,5496,14197,337,5159,1219,52651,0.029553094907979,0.104385481757232,0.269643501547929,0.00640063816451729,0.0979848435927143,0.0231524567434617
"E14001087",5359,4405,6347,1180,3225,4179,33428,0.160314706234295,0.131775756850544,0.189870767021658,0.0352997487136532,0.0964760081368912,0.125014957520641
"E14001088",7811,8273,6151,2702,5571,5109,35890,0.21763722485372,0.230509891334634,0.171384786848704,0.0752855948732237,0.15522429646141,0.142351629980496
"E14001089",5646,5930,12044,1565,4365,4081,31394,0.179843282155826,0.18888959673823,0.383640186022807,0.0498502898643053,0.139039306873925,0.129992992291521
"E14001090",5644,4901,4077,1543,3358,4101,37455,0.150687491656655,0.130850353757843,0.108850620744894,0.0411961019890535,0.0896542517687892,0.109491389667601
"E14001091",6171,4107,18635,847,3260,5324,44055,0.140074906367041,0.093224378617637,0.422993984791738,0.0192259675405743,0.0739984110770628,0.120848938826467
"E14001092",6564,7512,13811,1680,5832,4884,43454,0.151056289409491,0.172872462834262,0.317830349334929,0.0386615731578221,0.134210889676439,0.112394716251668
"E14001093",7282,7021,18021,1644,5377,5638,43933,0.165752395693442,0.159811531195229,0.41019279357203,0.0374206177588601,0.122390913436369,0.128331777934582
"E14001094",6719,4688,21377,1050,3638,5669,36199,0.185612862233763,0.129506339954142,0.590541175170585,0.0290063261416061,0.100500013812536,0.156606536092157
"E14001095",6067,7147,9314,1843,5304,4224,38272,0.158523202341137,0.186742265886288,0.243363294314381,0.0481553093645485,0.138586956521739,0.110367892976589
"E14001096",5482,5669,14419,1050,4619,4432,79458,0.0689924236703667,0.0713458682574442,0.181466938508394,0.013214528430114,0.0581313398273302,0.0557778952402527
"E14001097",5641,7104,6785,1730,5374,3911,38434,0.146771088099079,0.18483634282146,0.176536400062445,0.0450122287557891,0.139824114065671,0.10175885934329
"E14001098",7172,5915,21379,1353,4562,5819,40300,0.177965260545906,0.146774193548387,0.530496277915633,0.0335732009925558,0.113200992555831,0.14439205955335
"E14001099",6219,5356,16003,1376,3980,4843,37084,0.167700355948657,0.144428864200194,0.431533815122425,0.0371049509222306,0.107323913277964,0.130595405026426
"E14001100",6302,4546,20656,1098,3448,5204,35274,0.178658502012814,0.128876793105403,0.585587117990588,0.0311277428134036,0.0977490502919998,0.14753075919941
"E14001101",5857,6192,12168,1420,4772,4437,42350,0.138299881936246,0.146210153482881,0.287319952774498,0.033530106257379,0.112680047225502,0.104769775678867
"E14001102",6084,10916,2881,2853,8063,3231,38816,0.156739488870569,0.281224237427865,0.0742219703215169,0.0735006183017312,0.207723619126134,0.0832388705688376
"E14001103",5523,9767,5471,2151,7616,3372,40839,0.135238375082642,0.239158647371385,0.133965082396729,0.0526702416807463,0.186488405690639,0.0825681334018952
"E14001104",7191,12406,1451,3445,8961,3746,38000,0.189236842105263,0.326473684210526,0.0381842105263158,0.0906578947368421,0.235815789473684,0.0985789473684211
"E14001105",9462,20439,3468,5057,15382,4405,51465,0.183853104051297,0.397143689886331,0.0673856018653454,0.0982609540464393,0.298882735839891,0.0855921500048577
"E14001106",4293,5394,6594,1158,4236,3135,33402,0.1285252380097,0.161487336087659,0.197413328543201,0.0346685827195976,0.126818753368062,0.0938566552901024
"E14001107",5076,6623,3695,1624,4999,3452,40471,0.125423142497097,0.163648044278619,0.0912999431691829,0.0401274987027748,0.123520545575844,0.0852956437943219
"E14001108",8373,11142,4632,3379,7763,4994,44336,0.188853302057019,0.251308191988452,0.104474918801877,0.0762134608444605,0.175094731143991,0.112639841212559
"E14001109",5189,4333,8215,1054,3279,4135,42314,0.122630807770478,0.102401096563785,0.194143782199745,0.0249090135652503,0.0774920829985348,0.0977217942052276
"E14001110",7216,9257,4145,2658,6599,4558,40586,0.177795298871532,0.228083575617208,0.102128812891145,0.0654905632484108,0.162593012368797,0.112304735623121
"E14001111",6835,8836,2842,2653,6183,4182,44113,0.154942987327999,0.200303765329948,0.0644254528143631,0.0601410015188266,0.140162763811121,0.0948019858091719
"E14001112",6177,8294,2995,2490,5804,3687,35261,0.175179376648422,0.235217378973937,0.0849380335214543,0.0706162615921273,0.16460111738181,0.104563115056294
"E14001113",5922,6217,13060,1406,4811,4516,40793,0.145171965778442,0.152403598656632,0.320152967420881,0.0344666977177457,0.117936900938887,0.110705268060697
"E14001114",7950,6469,8640,2059,4410,5891,48905,0.162560065432982,0.13227686330641,0.176669052244147,0.0421020345567938,0.0901748287496166,0.120458030876189
"E14001115",7230,15048,2612,3436,11612,3794,47200,0.153177966101695,0.318813559322034,0.0553389830508475,0.0727966101694915,0.246016949152542,0.0803813559322034
"E14001116",6392,14320,2922,2872,11448,3520,44338,0.144165275835626,0.322973521584194,0.0659028372953223,0.0647751364518021,0.258198385132392,0.0793901393838243
"E14001117",6771,7561,1329,2375,5186,4396,37833,0.178970739830307,0.199851981074723,0.0351280628023154,0.0627758834879602,0.137076097586763,0.116194856342347
"E14001118",10251,9595,9845,3833,5762,6418,41457,0.24726825385339,0.231444629375015,0.237474974069518,0.092457244856116,0.138987384518899,0.154811008997274
"E14001119",7544,8220,8083,2341,5879,5203,39141,0.192739071561789,0.210009963976393,0.20650979791012,0.0598094070156613,0.150200556960732,0.132929664546128
"E14001120",10276,9036,11506,3971,5065,6305,41253,0.249097035367125,0.219038615373427,0.27891304874797,0.0962596659636875,0.12277894940974,0.152837369403437
"E14001121",5736,5279,4871,1636,3643,4100,36099,0.158896368320452,0.146236737859775,0.134934485719826,0.0453198149533228,0.100916922906452,0.113576553367129
"E14001122",6014,4336,24058,636,3700,5378,46062,0.130563154009813,0.0941339933133603,0.522296035777865,0.0138074768789892,0.0803265164343711,0.116755677130824
"E14001123",4721,5057,14122,991,4066,3730,42198,0.111877340158301,0.119839802834258,0.334660410445993,0.0234845253329542,0.0963552775013034,0.0883928148253472
"E14001124",4787,5193,14265,992,4201,3795,44248,0.108185680708733,0.117361236666064,0.322387452540228,0.0224190923883565,0.0949421442777075,0.0857665883203761
"E14001125",6773,7425,8321,2425,5000,4348,35316,0.191782761354627,0.210244648318043,0.235615585003964,0.068665760561785,0.141578887756258,0.123117000792842
"E14001126",7018,5753,6394,1987,3766,5031,42984,0.163270053973572,0.133840498790248,0.148753024381165,0.0462265028847943,0.0876139959054532,0.117043551088777
"E14001127",7190,5794,9029,1665,4129,5525,39749,0.180885053712043,0.145764673325115,0.227150368562731,0.0418878462351254,0.10387682708999,0.138997207476918
"E14001128",5180,4400,4659,1223,3177,3957,33045,0.156755938871236,0.133151762747768,0.14098955969133,0.0370101376910274,0.0961416250567408,0.119745801180209
"E14001129",6476,9055,8295,2538,6517,3938,38730,0.167208882003615,0.233798089336432,0.2141750580945,0.0655305964368706,0.168267492899561,0.101678285566744
"E14001130",6364,8646,20524,1929,6717,4435,45477,0.139938870198122,0.190118081667656,0.451305055302681,0.0424170459792862,0.14770103568837,0.0975218242188359
"E14001131",4526,2368,23216,324,2044,4202,46261,0.0978361903114935,0.0511878255982361,0.501848209074598,0.00700373965111001,0.0441840859471261,0.0908324506603835
"E14001132",6247,4814,17293,1328,3486,4919,42087,0.148430631786537,0.114382113241619,0.410886972224202,0.031553686411481,0.0828284268301376,0.116876945375056
"E14001133",5188,5877,10834,1493,4384,3695,35018,0.148152378776629,0.167827974184705,0.309383745502313,0.0426352161745388,0.125192758010166,0.10551716260209
"E14001134",5232,5465,11957,1355,4110,3877,36255,0.144311129499379,0.150737829264929,0.329802785822645,0.0373741552889257,0.113363673976003,0.106936974210454
"E14001135",5571,5214,11682,1497,3717,4074,40107,0.13890343331588,0.130002243997307,0.291270850474979,0.0373251552098137,0.0926770887874935,0.101578278106066
"E14001136",6768,4009,5348,1520,2489,5248,34176,0.198033707865169,0.117304541198502,0.156484082397004,0.0444756554307116,0.0728288857677903,0.153558052434457
"E14001137",5488,6880,12021,1790,5090,3698,33443,0.164100110636008,0.205723170768173,0.359447417994797,0.0535239063481147,0.152199264420058,0.110576204287893
"E14001138",5674,5756,6353,1752,4004,3922,31717,0.178894599110887,0.181479963426554,0.200302676797932,0.0552385156225368,0.126241447804017,0.12365608348835
"E14001139",6308,8172,6451,2464,5708,3844,36057,0.174945225614998,0.226641151510109,0.178911168427767,0.0683362453892448,0.158304906120864,0.106608980225754
"E14001140",5441,4578,11810,1166,3412,4275,34647,0.157041013651976,0.132132652177678,0.340866453083961,0.0336537073916934,0.0984789447859844,0.123387306260282
"E14001141",5064,4511,3907,1342,3169,3722,39979,0.126666499912454,0.112834237974937,0.0977263063108132,0.0335676230020761,0.0792666149728607,0.093098876910378
"E14001142",6954,10038,16065,2166,7872,4788,42861,0.162245397914188,0.234198922097011,0.374816266536012,0.0505354518093372,0.183663470287674,0.111709946104851
"E14001143",5758,4064,10415,1193,2871,4565,43780,0.131521242576519,0.0928277752398355,0.237894015532206,0.0272498857925994,0.0655778894472362,0.10427135678392
"E14001144",6092,8490,6528,2285,6205,3807,37016,0.164577480008645,0.22936027663713,0.176356170304733,0.0617300626755997,0.16763021396153,0.102847417333045
"E14001145",5523,11335,3719,2729,8606,2794,37804,0.146095651253836,0.299835996190879,0.0983758332451592,0.0721881282403978,0.227647867950481,0.0739075230134377
"E14001146",6017,3978,5459,1302,2676,4715,41699,0.144296026283604,0.0953979711743687,0.130914410417516,0.0312237703542051,0.0641742008201635,0.113072255929399
"E14001147",7012,6335,12727,1718,4617,5294,38192,0.183598659405111,0.165872434017595,0.33323732718894,0.0449832425638877,0.120889191453708,0.138615416841223
"E14001148",6670,6327,10141,1936,4391,4734,39387,0.16934521542641,0.160636758321274,0.257470739076345,0.049153273922868,0.111483484398406,0.120191941503542
"E14001149",4795,5131,12496,1076,4055,3719,46106,0.103999479460374,0.11128703422548,0.271027631978484,0.0233375265692101,0.0879495076562703,0.0806619528911638
"E14001150",6461,5126,5354,1723,3403,4738,37814,0.170862643465383,0.13555825884593,0.141587771724758,0.0455651346062305,0.0899931242396996,0.125297508859153
"E14001151",7186,9529,6163,2958,6571,4228,41270,0.1741216379937,0.230894111945723,0.149333656409014,0.071674339714078,0.159219772231645,0.102447298279622
"E14001152",5955,5369,9389,1373,3996,4582,40702,0.146307306766252,0.13190997985357,0.230676625227262,0.0337329860940494,0.0981769937595204,0.112574320672203
"E14001153",5267,6190,11758,1232,4958,4035,33727,0.156165683280458,0.183532481394728,0.348622765143653,0.0365285972662852,0.147003884128443,0.119637086014173
"E14001154",7664,7064,6649,2710,4354,4954,27938,0.27432171236309,0.252845586656167,0.237991266375546,0.0970005011095998,0.155845085546567,0.17732121125349
"E14001155",6660,4762,7364,1659,3103,5001,35630,0.186921133875947,0.133651417344934,0.206679764243615,0.0465618860510806,0.0870895312938535,0.140359247824867
"E14001156",4950,3728,4387,1299,2429,3651,32089,0.154258468634111,0.116176883044034,0.136713515534919,0.0404811617688304,0.0756957212752033,0.113777306865281
"E14001157",6738,7755,7334,2461,5294,4277,37202,0.181119294661577,0.208456534594914,0.197139938712972,0.0661523574001398,0.142304177194774,0.114966937261438
"E14001158",6172,8922,2169,2812,6110,3360,30085,0.205152069137444,0.296559747382416,0.0720957287684893,0.0934685058999501,0.203091241482466,0.111683563237494
"E14001159",6262,6507,6702,1968,4539,4294,40728,0.153751718719309,0.159767236299352,0.164555097230407,0.0483205657041839,0.111446670595168,0.105431153015125
"E14001160",3960,4655,40592,217,4438,3743,66653,0.0594121794967968,0.0698393170599973,0.609004845993429,0.00325566741181942,0.0665836496481779,0.0561565120849774
"E14001161",5561,6733,12434,1625,5108,3936,43149,0.12887900067209,0.156040696192264,0.288164268001576,0.0376602006999003,0.118380495492364,0.0912187999721894
"E14001162",6544,8295,4945,2599,5696,3945,33565,0.194964993296589,0.247132429614181,0.147326083718159,0.0774318486518695,0.169700580962312,0.117533144644719
"E14001163",5798,4604,8549,1419,3185,4379,37007,0.156673061853163,0.124408895614343,0.231010349393358,0.0383440970627179,0.0860647985516254,0.118328964790445
"E14001164",5597,4668,6128,1629,3039,3968,33482,0.167164446568305,0.139418194850965,0.183023714234514,0.0486530075861657,0.090765187264799,0.11851143898214
"E14001165",4975,5218,5783,1274,3944,3701,37640,0.132173219978746,0.138629117959617,0.153639744952179,0.0338469713071201,0.104782146652497,0.0983262486716259
"E14001166",7086,9364,3554,2873,6491,4213,42911,0.165132483512386,0.218219104658479,0.0828225862832374,0.066952529654401,0.151266575004078,0.0981799538579851
"E14001167",5797,5562,16523,1061,4501,4736,35401,0.163752436371854,0.157114205813395,0.46673822773368,0.0299709047767012,0.127143301036694,0.133781531595153
"E14001168",5666,4800,3607,1390,3410,4276,38576,0.146878888428038,0.12442969722107,0.0935037328909166,0.0360327664869349,0.0883969307341352,0.110846121941103
"E14001169",6414,7459,14180,1742,5717,4672,40193,0.159580026372751,0.185579578533575,0.352797750852138,0.0433408802527803,0.142238698280795,0.116239146119971
"E14001170",5211,7336,2695,2042,5294,3169,36526,0.142665498548979,0.200843234955922,0.0737830586431583,0.0559053824672836,0.144937852488638,0.0867601160816952
"E14001171",6772,7600,1308,2561,5039,4211,34290,0.197491980169146,0.221638961796442,0.0381452318460192,0.0746864975211432,0.146952464275299,0.122805482648002
"E14001172",2119,6914,43307,77,6837,2042,91679,0.0231132538531179,0.0754153077585925,0.472376443896639,0.000839886997022219,0.0745754207615703,0.0222733668560957
"E14001173",5261,6395,4675,1529,4866,3732,39569,0.132957618337588,0.161616416892011,0.118148045186889,0.0386413606611236,0.122975056230888,0.0943162576764639
"E14001174",9368,8229,6675,2890,5339,6478,41980,0.223153882801334,0.196021915197713,0.159004287756074,0.0688423058599333,0.12717960933778,0.154311576941401
"E14001175",4028,3855,28175,359,3496,3669,50841,0.0792273952125253,0.0758246297279754,0.554178714030015,0.00706123010955725,0.0687633996184182,0.0721661651029681
"E14001176",5872,7403,4736,2049,5354,3823,46490,0.126306732630673,0.159238545923855,0.101871370187137,0.0440739944073994,0.115164551516455,0.0822327382232738
"E14001177",4094,4280,11244,809,3471,3285,32654,0.125375145464568,0.131071231702089,0.344337600293992,0.0247749127212593,0.106296318980829,0.100600232743309
"E14001178",5374,5059,4325,1649,3410,3725,34928,0.153859367842419,0.144840815391663,0.12382615666514,0.0472114063215758,0.097629409070087,0.106647961520843
"E14001179",4984,4516,5569,1216,3300,3768,42510,0.117243001646671,0.106233827334745,0.13100446953658,0.0286050341096213,0.0776287932251235,0.0886379675370501
"E14001180",6540,5846,13243,1473,4373,5067,44896,0.145669992872416,0.130212045616536,0.294970598717035,0.0328091589451176,0.0974028866714184,0.112860833927299
"E14001181",6023,4824,15464,1231,3593,4792,39534,0.152349876056053,0.122021551069965,0.391156978803056,0.0311377548439318,0.0908837962260333,0.121212121212121
"E14001182",6065,4718,16481,1176,3542,4889,43768,0.138571559129958,0.107795649789801,0.376553646499726,0.0268689453481996,0.0809267044416012,0.111702613781758
"E14001183",3637,4980,1672,1109,3871,2528,36540,0.0995347564313082,0.136288998357964,0.0457580733442802,0.0303503010399562,0.105938697318008,0.0691844553913519
"E14001184",7257,8898,1266,2856,6042,4401,36640,0.198062227074236,0.242849344978166,0.0345524017467249,0.0779475982532751,0.164901746724891,0.120114628820961
"E14001185",6490,4734,10939,1368,3366,5122,43308,0.149856839383024,0.109310058187864,0.252586127274407,0.0315876974231089,0.0777223607647548,0.118269141959915
"E14001186",5864,8034,12753,1787,6247,4077,36408,0.161063502526917,0.220665787738958,0.350280158206987,0.0490826192045704,0.171583168534388,0.111980883322347
"E14001187",6004,7504,11916,2007,5497,3997,36829,0.163023704146189,0.203752477667056,0.323549376849765,0.0544950989709197,0.149257378696136,0.108528605175269
"E14001188",5496,4178,22213,585,3593,4911,50771,0.10825077307912,0.082291071674775,0.437513541194777,0.0115223257371334,0.0707687459376416,0.0967284473419866
"E14001189",6002,7383,15162,1730,5653,4272,38691,0.155126515210256,0.190819570442739,0.391874079243235,0.0447132408053552,0.146106329637383,0.1104132744049
"E14001190",5029,5615,13618,1130,4485,3899,40822,0.123193376120719,0.137548380775072,0.333594630346382,0.0276811523198275,0.109867228455245,0.0955122238008917
"E14001191",5210,4199,9614,1232,2967,3978,40056,0.130067904933094,0.104828240463351,0.240013980427402,0.030756940283603,0.0740713001797483,0.0993109646494907
"E14001192",5508,3470,5766,1086,2384,4422,38275,0.143905943827564,0.0906596995427825,0.1506466361855,0.0283736120182887,0.0622860875244938,0.115532331809275
"E14001193",5582,4779,11366,1201,3578,4381,40511,0.137789736121054,0.117967959319691,0.280565772259386,0.0296462689146158,0.0883216904050752,0.108143467206438
"E14001194",6611,4488,15184,1168,3320,5443,44189,0.149607368349589,0.101563737581751,0.343614926791735,0.0264319174455181,0.075131820136233,0.123175450904071
"E14001195",4834,3916,10206,1014,2902,3820,34613,0.139658509808453,0.113136682749256,0.294860312599312,0.0292953514575449,0.0838413312917112,0.110363158350909
"E14001196",4103,5243,6377,1266,3977,2837,31858,0.128790256764392,0.164574047335049,0.200169502165861,0.0397388411074142,0.124835206227635,0.0890514156569778
"E14001197",5896,5447,3706,1795,3652,4101,41858,0.140857183811936,0.13013044101486,0.0885374360934588,0.0428830808925414,0.0872473601223183,0.0979741029193941
"E14001198",6589,4955,11861,1417,3538,5172,45613,0.144454431850569,0.108631311248986,0.26003551619056,0.0310657049525355,0.0775656062964506,0.113388726898033
"E14001199",4800,4049,4428,1155,2894,3645,32168,0.14921661278289,0.125870430241234,0.137652325292216,0.0359052474508829,0.0899651827903507,0.113311365332007
"E14001200",5339,4254,10871,1157,3097,4182,37074,0.144009278739818,0.114743486000971,0.293224362086638,0.031207854561148,0.0835356314398231,0.11280142417867
"E14001201",6593,7457,5030,2503,4954,4090,32819,0.200889728510924,0.227215941984826,0.153264877052927,0.0762667966726591,0.150949145312167,0.124622931838264
"E14001202",7219,8422,9948,2115,6307,5104,41807,0.172674432511302,0.201449518023298,0.237950582438348,0.0505896141794436,0.150859903843854,0.122084818331858
"E14001203",5665,4847,6180,1562,3285,4103,38104,0.148672055427252,0.127204492966618,0.162187696829729,0.0409930715935335,0.0862114213730842,0.107678983833718
"E14001204",5374,5049,7273,1290,3759,4084,38636,0.139093073817165,0.130681229940988,0.188244124650585,0.0333885495392898,0.0972926804016979,0.105704524277876
