"pcon24","loftins_n","cavitywallins_n","solidwallins_n","cavity_and_loftins_n","cavitywallins_noloftins_n","loftins_nocavitywallins_n","number_of_epcs","loftins_pct","cavitywallins_pct","solidwallins_pct","cavity_and_loftins_pct","cavitywallins_noloftins_pct","loftins_nocavitywallins_pct"
"E14001205",5307,5791,23800,788,5003,4519,45594,0.116396894328201,0.12701232618327,0.52199850857569,0.0172829758301531,0.109729350353117,0.099113918498048
"E14001206",6608,6734,4664,1982,4752,4626,45297,0.145881625714727,0.148663266883017,0.102964876261121,0.0437556571075347,0.104907609775482,0.102125968607193
"E14001207",5969,7260,25921,1178,6082,4791,61811,0.0965685719370339,0.117454821957257,0.419359013767776,0.0190580964553235,0.0983967255019333,0.0775104754817104
"E14001208",6269,10252,13144,2193,8059,4076,40682,0.154097635317831,0.252003343001819,0.323091293446733,0.0539059043311538,0.198097438670665,0.100191730986677
"E14001209",5264,4217,19805,734,3483,4530,39165,0.134405719392315,0.107672666921997,0.50568109281246,0.0187412230307673,0.0889314438912294,0.115664496361547
"E14001210",6150,6500,1648,2250,4250,3900,33304,0.184662503002642,0.195171751141004,0.0494835455200577,0.0675594523180399,0.127612298822964,0.117103050684602
"E14001211",4697,6898,3022,1389,5509,3308,42595,0.110271158586689,0.161943890127949,0.0709472942833666,0.0326094612043667,0.129334428923583,0.0776616973823219
"E14001212",7108,7631,3912,2807,4824,4301,34090,0.20850689351716,0.223848635963626,0.114755060134937,0.0823408624229979,0.141507773540628,0.126166031094163
"E14001213",6700,3283,25148,540,2743,6160,37474,0.178790628168864,0.0876074078027432,0.671078614506058,0.0144099909270427,0.0731974168757005,0.164380637241821
"E14001214",6021,6065,3382,1952,4113,4069,32117,0.187470809851481,0.188840800821995,0.105302487779058,0.0607777812373509,0.128063019584644,0.12669302861413
"E14001215",6544,8625,6116,2821,5804,3723,33048,0.198015008472525,0.260984023238925,0.185064149116437,0.0853606874848705,0.175623335754055,0.112654320987654
"E14001216",7662,7719,16015,2195,5524,5467,48041,0.159488770008951,0.160675256551695,0.333361087404509,0.0456901396723632,0.114985116879332,0.113798630336587
"E14001217",5503,5371,3980,1627,3744,3876,35820,0.153629257398102,0.149944165270798,0.111111111111111,0.0454215522054718,0.104522613065327,0.10820770519263
"E14001218",8650,12243,3877,4126,8117,4524,34967,0.247376097463323,0.350130122687105,0.110875968770555,0.117996968570366,0.232133154116739,0.129379128892956
"E14001219",7128,11359,7989,2871,8488,4257,43637,0.16334761784724,0.260306620528451,0.18307858010404,0.0657927905218049,0.194513830006646,0.0975548273254348
"E14001220",5493,6541,651,2059,4482,3434,33503,0.163955466674626,0.195236247500224,0.0194310957227711,0.0614571829388413,0.133779064561383,0.102498283735785
"E14001221",6581,5320,22412,999,4321,5582,41300,0.159346246973366,0.128813559322034,0.542663438256659,0.0241888619854722,0.104624697336562,0.135157384987893
"E14001222",4839,3895,6870,1171,2724,3668,33583,0.144090760206057,0.115981300062532,0.204567787273323,0.034868832444987,0.0811124676175446,0.10922192776107
"E14001223",5230,6298,12873,1511,4787,3719,36781,0.142192980071232,0.171229710992088,0.349990484217395,0.041080992903945,0.130148718088143,0.101111987167287
"E14001224",6054,4346,6396,1400,2946,4654,40810,0.148345993629012,0.106493506493506,0.156726292575349,0.0343053173241852,0.0721881891693213,0.114040676304827
"E14001225",7027,8197,18767,1580,6617,5447,45473,0.154531260308315,0.180260814109472,0.412706441184879,0.034745893167374,0.145514920942098,0.119785367140941
"E14001226",5665,7454,8879,1964,5490,3701,34413,0.16461802225903,0.21660419027693,0.258012960218522,0.0570714555545869,0.159532734722343,0.107546566704443
"E14001227",6042,8957,9496,2435,6522,3607,36346,0.166235624277775,0.246437021955648,0.261266714356463,0.0669949925713971,0.179442029384251,0.0992406317063776
"E14001228",5906,4028,12022,1229,2799,4677,35825,0.164856943475227,0.112435450104676,0.335575715282624,0.0343056524773203,0.0781297976273552,0.130551290997906
"E14001229",5508,5559,13639,1178,4381,4330,46505,0.118438877540049,0.119535533813568,0.293280292441673,0.0253306096118697,0.0942049242016987,0.0931082679281798
"E14001230",6151,7431,10432,2139,5292,4012,36551,0.168285409427923,0.203304971136221,0.285409427922629,0.0585209706984761,0.144784000437745,0.109764438729447
"E14001231",7045,9003,7484,2598,6405,4447,38255,0.184158933472749,0.235341785387531,0.195634557574173,0.0679126911514835,0.167429094236048,0.116246242321265
"E14001232",5880,7257,4487,2159,5098,3721,42120,0.13960113960114,0.172293447293447,0.106528964862298,0.0512583095916429,0.121035137701804,0.0883428300094967
"E14001233",6807,7443,1621,2542,4901,4265,34320,0.198339160839161,0.216870629370629,0.0472319347319347,0.0740675990675991,0.14280303030303,0.124271561771562
"E14001234",6493,8268,3898,2582,5686,3911,35937,0.180677296379776,0.230069287920528,0.108467596070902,0.0718479561454768,0.158221331775051,0.108829340234299
"E14001235",6093,5917,5018,1834,4083,4259,36639,0.166298206828789,0.161494582275717,0.136957886405197,0.0500559513087148,0.111438630967002,0.116242255520074
"E14001236",5113,6517,11372,1557,4960,3556,36671,0.139428976575496,0.177715360911892,0.310108805323007,0.0424586185269014,0.135256742384991,0.0969703580485943
"E14001237",5593,5718,4129,1615,4103,3978,40809,0.137053101031635,0.140116150849077,0.101178661569752,0.0395746036413536,0.100541547207724,0.0974784973902816
"E14001238",6674,6449,25423,954,5495,5720,50869,0.131199748373273,0.12677662230435,0.499773929112033,0.0187540545322298,0.108022567772121,0.112445693841043
"E14001239",7468,11016,7915,3153,7863,4315,40346,0.185098894562038,0.273038219402171,0.196178059782878,0.0781490110543796,0.194889208347792,0.106949883507659
"E14001240",5994,5353,7116,1870,3483,4124,31939,0.187670246407214,0.167600738908544,0.222799711950906,0.0585491092394878,0.109051629669057,0.129121137167726
"E14001241",5470,5023,7981,1565,3458,3905,32925,0.166135155656796,0.152558845861807,0.242399392558846,0.0475322703113136,0.105026575550494,0.118602885345482
"E14001242",6743,11354,2873,3174,8180,3569,40703,0.165663464609488,0.27894749772744,0.070584477802619,0.0779795101098199,0.20096798761762,0.0876839544996683
"E14001243",5838,4177,7898,1228,2949,4610,39501,0.147793726741095,0.105744158375737,0.199944305207463,0.0310878205615048,0.0746563378142325,0.11670590617959
"E14001244",4639,6012,9239,1065,4947,3574,38767,0.119663631439111,0.155080351845642,0.238321252611757,0.0274718188149715,0.12760853303067,0.0921918126241391
"E14001245",6428,5943,11310,1631,4312,4797,38591,0.166567334352569,0.153999637221114,0.293073514550025,0.0422637402503174,0.111735896970796,0.124303594102252
"E14001246",7041,8557,10331,2648,5909,4393,35542,0.198103652017332,0.240757413763998,0.290670193011085,0.0745034044229363,0.166254009341061,0.123600247594395
"E14001247",6132,4427,7233,1501,2926,4631,35102,0.174690900803373,0.126118169904849,0.206056634949576,0.0427610962338328,0.0833570736710159,0.13192980456954
"E14001248",7767,6088,8104,1868,4220,5899,46275,0.167844408427877,0.131561318206375,0.175126958400864,0.0403673689897353,0.0911939492166397,0.127477039438142
"E14001249",6192,7868,5099,2420,5448,3772,34507,0.179441852377778,0.228011707769438,0.14776711971484,0.0701306981192222,0.157881009650216,0.109311154258556
"E14001250",5498,3934,7778,1224,2710,4274,38139,0.144156899761399,0.103149007577545,0.203938225962925,0.0320931330134508,0.0710558745640945,0.112063766747948
"E14001251",6405,10665,11337,2419,8246,3986,42003,0.152489107920863,0.253910434968931,0.269909292193415,0.0575911244434921,0.196319310525439,0.0948979834773707
"E14001252",6300,9114,1590,2460,6654,3840,36394,0.173105456943452,0.250425894378194,0.0436885200857284,0.0675935593779194,0.182832335000275,0.105511897565533
"E14001253",5848,3417,6875,1045,2372,4803,42181,0.138640620184443,0.0810080367938171,0.162988075199734,0.0247741874303596,0.0562338493634575,0.113866432754084
"E14001254",6280,6758,10150,1869,4889,4411,37507,0.167435412056416,0.180179699789373,0.270616151651692,0.0498306982696563,0.130349001519716,0.11760471378676
"E14001255",7127,6276,18120,1440,4836,5687,43596,0.163478300761538,0.143958161299202,0.415634461877236,0.0330305532617671,0.110927608037435,0.130447747499771
"E14001256",7460,4910,10881,1723,3187,5737,39749,0.187677677425847,0.123525120128808,0.273742735666306,0.043347002440313,0.0801781176884953,0.144330674985534
"E14001257",3086,3173,15703,331,2842,2755,54862,0.0562502278444096,0.0578360249352922,0.286227261127921,0.0060333199664613,0.0518027049688309,0.0502169078779483
"E14001258",5729,8614,6319,2217,6397,3512,35570,0.161062693280855,0.242170368287883,0.177649704807422,0.0623278043294911,0.179842563958392,0.0987348889513635
"E14001259",3626,3087,25484,247,2840,3379,44138,0.0821514341383842,0.0699397344691649,0.577370972857855,0.00559608500611718,0.0643436494630477,0.076555349132267
"E14001260",2202,4447,17276,353,4094,1849,51298,0.0429256501228118,0.086689539553199,0.336777262271434,0.00688135989707201,0.079808179656127,0.0360442902257398
"E14001261",5130,6582,7235,1668,4914,3462,33372,0.153721682847896,0.197231211794319,0.21679851372408,0.0499820208558073,0.147249190938511,0.103739661992089
"E14001262",8486,8878,12092,2502,6376,5984,43907,0.193272143393992,0.202200104766894,0.275400277860022,0.0569840799872458,0.145216024779648,0.136288063406746
"E14001263",6193,5548,991,1847,3701,4346,38726,0.159918401074214,0.143262924133657,0.0255900428652585,0.0476940556731911,0.0955688684604658,0.112224345401023
"E14001264",4162,3448,33639,294,3154,3868,56223,0.0740266439001832,0.0613272148409014,0.598313857318179,0.00522917667146897,0.0560980381694324,0.0687974672287142
"E14001265",3716,4250,32630,258,3992,3458,54944,0.067632498543972,0.0773514851485149,0.593877402446127,0.00469569015725102,0.0726557949912638,0.062936808386721
"E14001266",5513,4787,6891,1516,3271,3997,37117,0.148530323032573,0.128970552576986,0.18565616833257,0.0408438181965137,0.0881267343804726,0.107686504836059
"E14001267",5938,9773,3925,2071,7702,3867,46952,0.126469585960129,0.208148747657182,0.0835960129493951,0.0441088771511331,0.164039870506049,0.0823607088089964
"E14001268",6709,6735,6564,2130,4605,4579,33179,0.202206214774406,0.202989842972965,0.197835980590132,0.0641972331896682,0.138792609783297,0.138008981584737
"E14001269",7242,6520,10265,1857,4663,5385,41513,0.174451376677185,0.157059234456676,0.247271938910703,0.044732975212584,0.112326259244092,0.129718401464601
"E14001270",5123,7527,12031,1674,5853,3449,31229,0.164046239072657,0.241025969451471,0.385250888597137,0.0536040219027186,0.187421947548753,0.110442217169938
"E14001271",5842,4188,19460,861,3327,4981,41594,0.140452949944704,0.100687599172958,0.467855940760687,0.0207001009761023,0.0799874981968553,0.119752848968601
"E14001272",5149,5451,6815,1227,4224,3922,41462,0.124186001640056,0.131469779557185,0.164367372533886,0.0295933625970768,0.101876416960108,0.0945926390429791
"E14001273",6398,5924,5704,1983,3941,4415,35460,0.180428652002256,0.167061477721376,0.160857304004512,0.055922165820643,0.111139311900733,0.124506486181613
"E14001274",8902,8094,15865,2341,5753,6561,47781,0.186308365249785,0.169397877817543,0.332035746426404,0.0489943701471296,0.120403507670413,0.137313995102656
"E14001275",7065,8322,1714,2579,5743,4486,35415,0.199491740787802,0.234985175772978,0.0483975716504306,0.0728222504588451,0.162162925314132,0.126669490328957
"E14001276",5961,9242,9866,2358,6884,3603,40399,0.147553157256368,0.228768038812842,0.24421396569222,0.0583677813807272,0.170400257432115,0.0891853758756405
"E14001277",5875,8370,4248,2493,5877,3382,31263,0.187921824520999,0.267728624892045,0.135879474138758,0.0797428269839747,0.18798579790807,0.108178997537025
"E14001278",7485,7473,4429,2366,5107,5119,40852,0.183222363654166,0.182928620385783,0.108415744639185,0.0579163810829335,0.125012239302849,0.125305982571233
"E14001279",5049,7496,15248,1172,6324,3877,53524,0.0943315148344668,0.140049323667887,0.28488154846424,0.0218967192287572,0.11815260443913,0.0724347956057096
"E14001280",6326,6416,5771,2212,4204,4114,33166,0.190737502261352,0.193451124645722,0.17400349755774,0.0666948079358379,0.126756316709884,0.124042694325514
"E14001281",6414,5740,7445,1646,4094,4768,36740,0.174578116494284,0.156232988568318,0.20264017419706,0.0448013064779532,0.111431682090365,0.129776810016331
"E14001282",7413,7027,9089,2334,4693,5079,39321,0.188525215533684,0.178708578113476,0.23114875003179,0.0593575951781491,0.119350982935327,0.129167620355535
"E14001283",5233,6239,6369,1596,4643,3637,39837,0.131360293194769,0.156613198785049,0.159876496724151,0.0400632577754349,0.116549941009614,0.0912970354193338
"E14001284",6000,8716,6902,2514,6202,3486,35286,0.170039108995069,0.247010145666837,0.195601655047328,0.0712463866689339,0.175763758997903,0.098792722326135
"E14001285",5036,4896,8658,1261,3635,3775,35273,0.142772091968361,0.138803050491878,0.245456865024239,0.0357497235846115,0.103053326907266,0.10702236838375
"E14001286",5923,7759,3374,1985,5774,3938,37774,0.156800974215069,0.205405834701117,0.0893206967755599,0.0525493725843173,0.1528564621168,0.104251601630751
"E14001287",5168,4178,10721,1217,2961,3951,32193,0.160531792625726,0.129779765787594,0.333022706799615,0.0378032491535427,0.0919765166340509,0.122728543472183
"E14001288",6117,3379,8204,1135,2244,4982,37112,0.164825393403751,0.0910487173959905,0.22106057339944,0.0305830998059927,0.0604656175899978,0.134242293597758
"E14001289",5451,4938,6035,1440,3498,4011,39177,0.139137759399648,0.126043341756643,0.154044464864589,0.0367562600505399,0.0892870817061031,0.102381499349108
"E14001290",1978,3710,24054,93,3617,1885,53107,0.0372455608488523,0.0698589639783833,0.452934641384375,0.00175118157681662,0.0681077824015666,0.0354943792720357
"E14001291",6994,7136,5806,2285,4851,4709,37961,0.184241721767077,0.187982402992545,0.152946445035695,0.060193356339401,0.127789046653144,0.124048365427676
"E14001292",5625,5679,12892,1421,4258,4204,32884,0.171055832623768,0.172697968616957,0.392044763410777,0.0432125045614889,0.129485464055468,0.12784332806228
"E14001293",5276,3077,26942,371,2706,4905,44314,0.1190594394548,0.0694362955273728,0.607979419596516,0.0083720720314122,0.0610642234959606,0.110687367423388
"E14001294",5993,7087,2408,2286,4801,3707,36613,0.16368502990741,0.193565127140633,0.0657689891568569,0.0624368393739928,0.13112828776664,0.101248190533417
"E14001295",4502,4811,2102,1200,3611,3302,40867,0.110162233587002,0.117723346465363,0.0514351432696308,0.0293635451586855,0.0883598013066778,0.0807986884283163
"E14001296",6535,10507,17670,2433,8074,4102,45881,0.142433687147185,0.229005470674135,0.385126740916719,0.0530284867374294,0.175976983936706,0.0894052004097557
"E14001297",6285,7942,12715,1756,6186,4529,41669,0.150831553433008,0.190597326549713,0.305142911996928,0.0421416400681562,0.148455686481557,0.108689913364852
"E14001298",6580,5284,4875,1709,3575,4871,41129,0.159984439203482,0.128473826253981,0.118529504729023,0.0415521894526976,0.0869216368012838,0.118432249750784
"E14001299",6905,8106,14687,2137,5969,4768,35441,0.194830845630767,0.228718151293699,0.414407042690669,0.0602973956716797,0.16842075562202,0.134533449959087
"E14001300",6168,4771,17231,1034,3737,5134,32585,0.189289550406629,0.146417063065828,0.5288015958263,0.0317323922050023,0.114684670860826,0.157557158201627
"E14001301",6407,3431,19439,732,2699,5675,37075,0.172811867835469,0.0925421443020904,0.524315576534053,0.0197437626432906,0.0727983816587997,0.153068105192178
"E14001302",6035,6094,12871,1636,4458,4399,47580,0.126839007986549,0.128079024800336,0.27051282051282,0.0343841950399327,0.0936948297604035,0.0924548129466162
"E14001303",5039,10900,4241,2534,8366,2505,31655,0.159184962881061,0.344337387458537,0.133975675248776,0.0800505449376086,0.264286842520929,0.0791344179434529
"E14001304",4833,9567,2783,2447,7120,2386,29860,0.161855324849297,0.320395177494977,0.0932016075016745,0.0819490957803081,0.238446081714668,0.0799062290689886
"E14001305",3364,4033,25555,162,3871,3202,48981,0.0686796921255181,0.082338049447745,0.521732916845307,0.00330740491210878,0.0790306445356363,0.0653722872134093
"E14001306",2352,5119,21302,257,4862,2095,56821,0.0413931468999138,0.0900899315393957,0.374896605128386,0.00452297566040724,0.0855669558789884,0.0368701712395065
"E14001307",3766,5742,3707,986,4756,2780,36877,0.102123274669848,0.155706809122217,0.100523361444803,0.0267375328795726,0.128969276242644,0.0753857417902758
"E14001308",8485,7651,11342,2269,5382,6216,36847,0.230276548972779,0.207642413222243,0.30781339050669,0.0615789616522376,0.146063451570006,0.168697587320542
"E14001309",5814,3959,6025,1359,2600,4455,35466,0.163931652850618,0.111628038121017,0.169881012800992,0.0383183894434106,0.0733096486776067,0.125613263407207
"E14001310",3063,5668,52280,268,5400,2795,82235,0.037246914330881,0.0689244239070955,0.635739040554508,0.00325895300054721,0.0656654709065483,0.0339879613303338
"E14001311",5776,3846,10148,1207,2639,4569,42210,0.136839611466477,0.0911158493248045,0.240416962805023,0.0285951196398958,0.0625207296849088,0.108244491826581
"E14001312",5968,7264,19533,1260,6004,4708,45802,0.130299986900135,0.158595694511157,0.426466093183704,0.0275097157329374,0.131085978778219,0.102790271167198
"E14001313",4920,5131,11274,1012,4119,3908,41328,0.119047619047619,0.124153116531165,0.272793263646922,0.0244870305845916,0.0996660859465738,0.0945605884630275
"E14001314",5856,5213,17287,1147,4066,4709,47298,0.12381073195484,0.110216076789716,0.365491141274473,0.0242504968497611,0.0859655799399552,0.0995602351050784
"E14001315",5283,5230,16771,1147,4083,4136,44759,0.118032127616792,0.11684800822181,0.374695591947988,0.025626131057441,0.0912218771643692,0.0924059965593512
"E14001316",5556,5425,3486,1844,3581,3712,27648,0.200954861111111,0.196216724537037,0.126085069444444,0.0666956018518518,0.129521122685185,0.134259259259259
"E14001317",5476,4689,3251,1329,3360,4147,41190,0.132944889536295,0.113838310269483,0.0789269240106822,0.0322651128914785,0.0815731973780044,0.100679776644817
"E14001318",5784,5842,7377,1813,4029,3971,35347,0.16363482049396,0.16527569524995,0.208702294395564,0.0512914815967409,0.11398421365321,0.112343338897219
"E14001319",8956,4537,14587,1163,3374,7793,48515,0.184602700195816,0.093517468824075,0.300669895908482,0.0239719674327528,0.0695455013913223,0.160630732763063
"E14001320",8128,4948,7918,1404,3544,6724,41522,0.195751649727855,0.119165743461298,0.190694089880064,0.0338134001252348,0.0853523433360628,0.16193824960262
"E14001321",6452,7795,7144,1977,5818,4475,36053,0.178958755166006,0.216209469392284,0.198152719607245,0.0548359359831359,0.161373533409148,0.12412281918287
"E14001322",6070,7304,5683,1995,5309,4075,33054,0.183638893931143,0.220971743208084,0.171930779935863,0.0603557814485388,0.160615961759545,0.123283112482604
"E14001323",10313,4876,13017,1214,3662,9099,59816,0.172412063661896,0.0815166510632607,0.217617359903705,0.0202955730908118,0.0612210779724488,0.152116490571085
"E14001324",5700,5219,5311,1546,3673,4154,35444,0.160817063536847,0.14724636045593,0.149842004288455,0.0436181017943799,0.103628258661551,0.117198961742467
"E14001325",7578,5765,9139,1705,4060,5873,39252,0.193060226230511,0.146871496993784,0.232828900438194,0.0434372770814226,0.103434219912361,0.149622949149088
"E14001326",5310,4069,12097,974,3095,4336,34642,0.153282143063334,0.117458576294671,0.349200392587033,0.0281161595750823,0.0893424167195889,0.125165983488251
"E14001327",5979,3318,19588,697,2621,5282,45144,0.132442849548113,0.073498139287613,0.433900407584618,0.0154394825447457,0.0580586567428673,0.117003367003367
"E14001328",7682,4753,16028,1088,3665,6594,47555,0.161539270318578,0.0999474292923983,0.337041320576175,0.0228787719482704,0.0770686573441278,0.138660498370308
"E14001329",6107,8434,5256,2337,6097,3770,40121,0.152214550983276,0.21021410234042,0.131003713765858,0.0582487973879016,0.151965304952519,0.093965753595374
"E14001330",7851,8547,4995,3034,5513,4817,36056,0.217744619480808,0.237047925449301,0.138534501885955,0.0841468826270246,0.152901042822276,0.133597736853783
"E14001331",6005,6016,21126,1163,4853,4842,44442,0.135119931596238,0.135367445209487,0.475361144862967,0.026168939291661,0.109198505917825,0.108950992304577
"E14001332",4382,3582,19917,466,3116,3916,53128,0.0824800481855142,0.0674220749887065,0.374887065201024,0.00877126938714049,0.058650805601566,0.0737087787983737
"E14001333",5455,4051,24564,593,3458,4862,40726,0.133943917890291,0.0994696262829642,0.603152777095713,0.0145607228797328,0.0849089034032313,0.119383195010558
"E14001334",6428,3838,25663,565,3273,5863,43071,0.149241949339463,0.0891086810150682,0.595830140930092,0.0131178751364027,0.0759908058786655,0.13612407420306
"E14001335",4999,5130,3793,1540,3590,3459,34455,0.145087795675519,0.148889856334349,0.110085618923233,0.0446959802641126,0.104193876070237,0.100391815411406
"E14001336",6519,3812,11551,1094,2718,5425,45078,0.144615998935179,0.0845645325879587,0.256244731354541,0.0242690447668486,0.0602954878211101,0.12034695416833
"E14001337",5078,6017,9643,1314,4703,3764,36408,0.139474840694353,0.165265875631729,0.264859371566689,0.0360909690177983,0.129174906613931,0.103383871676555
"E14001338",5408,4737,18230,822,3915,4586,70380,0.0768400113668656,0.067306052855925,0.259022449559534,0.0116794543904518,0.0556265984654731,0.0651605569764137
"E14001339",6426,5524,12620,1343,4181,5083,38723,0.165947886269142,0.142654236500271,0.325904501200837,0.0346822301991065,0.107972006301165,0.131265656070036
"E14001340",6545,4921,25704,1028,3893,5517,45809,0.142875854089808,0.107424305267524,0.561112445152699,0.0224410050426772,0.0849833002248466,0.12043484904713
"E14001341",5880,5582,15585,1248,4334,4632,38867,0.151285151928371,0.143617979262614,0.400982838912188,0.0321095016337767,0.111508477628837,0.119175650294594
"E14001342",5267,3986,7750,1179,2807,4088,36556,0.144080315132947,0.109038187985556,0.212003501477186,0.0322518875150454,0.076786300470511,0.111828427617901
"E14001343",6919,4985,7705,1652,3333,5267,40849,0.16937991138094,0.122034811133687,0.18862150848246,0.0404416264780044,0.0815931846556831,0.128938284902935
"E14001344",7313,5249,11370,1725,3524,5588,38752,0.188712840627581,0.135451073492981,0.293404211395541,0.0445138315441784,0.0909372419488026,0.144199009083402
"E14001345",6921,6996,4900,2370,4626,4551,32564,0.212535315071858,0.214838471932195,0.150472914875322,0.0727797567866355,0.14205871514556,0.139755558285223
"E14001346",6887,6693,13574,1911,4782,4976,44488,0.154805790325481,0.150445063837439,0.305115986333393,0.0429554037043697,0.10748966013307,0.111850386621111
"E14001347",6345,7022,7368,2049,4973,4296,37049,0.171259683122351,0.189532780911766,0.198871764420092,0.0553051364409296,0.134227644470836,0.115954546681422
"E14001348",6354,7333,6229,2305,5028,4049,38142,0.16658801321378,0.192255256672435,0.163310786010173,0.0604320696345236,0.131823187037911,0.106155943579256
